id,year,month_number,month,stream,site,order,family,genus,species,individuals,type
58,2014,T5,August,CC,CCD,Diptera,Chironomidae,,,1,urban
59,2014,T5,August,CC,CCD,Ephemeroptera,Heptageniidae,,,4,urban
60,2014,T5,August,CC,CCD,Trichoptera,Hydropsychidae,,,2,urban
61,2014,T6,September,CC,CCD,Trichoptera,Hydropsychidae,Hydropsyche,,2,urban
62,2014,T6,September,CC,CCD,Trichoptera,Philopotamidae,Chimarra,,1,urban
63,2014,T6,September,CC,CCD,Ephemeroptera,Isonychiidae,Isonychia,,1,urban
64,2014,T6,September,CC,CCD,Ephemeroptera,Isonychiidae,Isonychia,,1,urban
65,2014,T6,September,CC,CCD,Ephemeroptera,Heptageniidae,Maccaffertium,,1,urban
66,2014,T6,September,CC,CCD,Diptera,Tipulidae,Tipula,,1,urban
67,2014,T6,September,CC,CCD,Coleoptera,Dytiscidae,Uvarus,,1,urban
68,2014,T6,September,CC,CCD,Trichoptera,Hydropsychidae,,,1,urban
834,2015,T10,July,CC,CCD,Plecoptera,Perlidae,Acroneuria,,3,urban
835,2015,T10,July,CC,CCD,Ephemeroptera,Ameletidae,Ameletus,,1,urban
836,2015,T10,July,CC,CCD,Trichoptera,Philopotamidae,Chimarra,,7,urban
837,2015,T10,July,CC,CCD,Coleoptera,Gyrinidae,Dinutus,,1,urban
838,2015,T10,July,CC,CCD,Ephemeroptera,Heptageniidae,Epeorus,,1,urban
839,2015,T10,July,CC,CCD,Trichoptera,Hydropsychidae,Hydropsyche,,5,urban
840,2015,T10,July,CC,CCD,Ephemeroptera,Isonychiidae,Isonychia,,15,urban
841,2015,T10,July,CC,CCD,Coleoptera,Psephenidae,Psephenus,,4,urban
842,2015,T10,July,CC,CCD,Ephemeroptera,Heptageniidae,Stenonema,fematoratum,4,urban
843,2015,T11,August,CC,CCD,Trichoptera,Philopotamidae,Chimarra,,2,urban
844,2015,T11,August,CC,CCD,Trichoptera,Hydropsychidae,Hydropsyche,,8,urban
845,2015,T11,August,CC,CCD,Ephemeroptera,Isonychiidae,Isonychia,,8,urban
846,2015,T11,August,CC,CCD,Ephemeroptera,Heptageniidae,Maccaffertium,,3,urban
847,2015,T11,August,CC,CCD,Coleoptera,Psephenidae,Psephenus,,2,urban
848,2015,T11,August,CC,CCD,Coleoptera,Elmidae,Stenelmis,,1,urban
849,2015,T11,August,CC,CCD,Ephemeroptera,Heptageniidae,Stenonema,fematoratum,8,urban
850,2015,T7,April,CC,CCD,Trichoptera,Philopotamidae,Chimarra,,1,urban
851,2015,T7,April,CC,CCD,Ephemeroptera,Ephemerellidae,Ephemerella,,1,urban
852,2015,T7,April,CC,CCD,Trichoptera,Hydropsychidae,Hydropsyche,,4,urban
853,2015,T7,April,CC,CCD,Ephemeroptera,Isonychiidae,Isonychia,,1,urban
854,2015,T7,April,CC,CCD,Ephemeroptera,Heptageniidae,Maccaffertium,,16,urban
855,2015,T7,April,CC,CCD,Plecoptera,Taeniopterygidae,Oemopteryx,,1,urban
856,2015,T7,April,CC,CCD,Ephemeroptera,Heptageniidae,Stenacron,,4,urban
857,2015,T7,April,CC,CCD,Plecoptera,Chloroperlidae,Sweltsa,,2,urban
858,2015,T7,April,CC,CCD,Diptera,Chironomidae,,,4,urban
859,2015,T8,May,CC,CCD,Plecoptera,Perlidae,Acroneuria,,1,urban
860,2015,T8,May,CC,CCD,Plecoptera,Perlidae,Agnetina,,1,urban
861,2015,T8,May,CC,CCD,Ephemeroptera,Ephemerellidae,Drunella,,4,urban
862,2015,T8,May,CC,CCD,Trichoptera,Hydropsychidae,Hydropsyche,,5,urban
863,2015,T8,May,CC,CCD,Ephemeroptera,Isonychiidae,Isonychia,,1,urban
864,2015,T8,May,CC,CCD,Ephemeroptera,Heptageniidae,Maccaffertium,,3,urban
865,2015,T8,May,CC,CCD,Coleoptera,Psephenidae,Psephenus,,1,urban
866,2015,T8,May,CC,CCD,Ephemeroptera,Heptageniidae,Stenacron,,1,urban
867,2015,T8,May,CC,CCD,Ephemeroptera,Heptageniidae,Stenonema,fematoratum,4,urban
868,2015,T8,May,CC,CCD,Diptera,Chironomidae,,,2,urban
869,2015,T9,June,CC,CCD,Plecoptera,Perlidae,Agnetina,,2,urban
870,2015,T9,June,CC,CCD,Ephemeroptera,Baetidae,Baetis,,1,urban
871,2015,T9,June,CC,CCD,Trichoptera,Hydropsychidae,Hydropsyche,,8,urban
872,2015,T9,June,CC,CCD,Trichoptera,Philopotamidae,Chimarra,,6,urban
873,2015,T9,June,CC,CCD,Coleoptera,Gyrinidae,Gyrinus,,1,urban
874,2015,T9,June,CC,CCD,Ephemeroptera,Isonychiidae,Isonychia,,6,urban
875,2015,T9,June,CC,CCD,Ephemeroptera,Heptageniidae,Maccaffertium,,1,urban
876,2015,T9,June,CC,CCD,Trichoptera,Hydropsychidae,Potamyia,flava,9,urban
877,2015,T9,June,CC,CCD,Coleoptera,Psephenidae,Psephenus,,5,urban
878,2015,T9,June,CC,CCD,Coleoptera,Elmidae,Stenelmis,,2,urban
879,2015,T9,June,CC,CCD,Diptera,Chironomidae,,,1,urban
69,2014,T1,April,CC,CCU,Diptera,Chironomidae,,,1,rural
70,2014,T1,April,CC,CCU,Plecoptera,Chloroperlidae,,,3,rural
71,2014,T1,April,CC,CCU,Ephemeroptera,Ephemerellidae,,,2,rural
72,2014,T1,April,CC,CCU,Ephemeroptera,Ephemerellidae,,,2,rural
73,2014,T1,April,CC,CCU,Ephemeroptera,Heptageniidae,,,16,rural
74,2014,T1,April,CC,CCU,Ephemeroptera,Heptageniidae,,,1,rural
75,2014,T1,April,CC,CCU,Plecoptera,Perlodidae,,,3,rural
76,2014,T1,April,CC,CCU,Plecoptera,Perlodidae,,,1,rural
77,2014,T1,April,CC,CCU,Diptera,Simuliidae,,,2,rural
78,2014,T1,April,CC,CCU,Plecoptera,Taeniopterygidae,,,62,rural
79,2014,T1,April,CC,CCU,Diptera,Tipulidae,,,4,rural
80,2014,T1,April,CC,CCU,Diptera,Tipulidae,,,1,rural
81,2014,T2,May,CC,CCU,Trichoptera,Hydropsychidae,Hydropsyche,,1,rural
82,2014,T2,May,CC,CCU,Trichoptera,Philopotamidae,Chimarra,,6,rural
83,2014,T2,May,CC,CCU,Ephemeroptera,Ephemerellidae,Drunella,,4,rural
84,2014,T2,May,CC,CCU,Ephemeroptera,Ephemerellidae,Drunella,,2,rural
85,2014,T2,May,CC,CCU,Ephemeroptera,Ephemerellidae,Ephemerella,,30,rural
86,2014,T2,May,CC,CCU,Odonata,Gomphidae,Erpetogomphus,,1,rural
87,2014,T2,May,CC,CCU,Ephemeroptera,Ephemerellidae,Eurylophella,,1,rural
88,2014,T2,May,CC,CCU,Diptera,Tipulidae,Hexatoma,,1,rural
89,2014,T2,May,CC,CCU,Trichoptera,Hydropsychidae,Hydropsyche,,6,rural
90,2014,T2,May,CC,CCU,Ephemeroptera,Isonychiidae,Isonychia,,8,rural
91,2014,T2,May,CC,CCU,Ephemeroptera,Isonychiidae,Isonychia,,4,rural
92,2014,T2,May,CC,CCU,Plecoptera,Perlodidae,Isoperla,,3,rural
93,2014,T2,May,CC,CCU,Trichoptera,Uenoidae,Neophylax,,14,rural
94,2014,T2,May,CC,CCU,Coleoptera,Elmidae,Stenelmis,,2,rural
95,2014,T2,May,CC,CCU,Diptera,Tipulidae,Tipula,,1,rural
96,2014,T2,May,CC,CCU,Trichoptera,Philopotamidae,Wormaldia,,1,rural
97,2014,T2,May,CC,CCU,Odonata,Aeshnidae,,,1,rural
98,2014,T2,May,CC,CCU,Ephemeroptera,Baetidae,,,1,rural
99,2014,T2,May,CC,CCU,Diptera,Chironomidae,,,1,rural
100,2014,T2,May,CC,CCU,Plecoptera,Chloroperlidae,,,3,rural
101,2014,T2,May,CC,CCU,Coleoptera,Elmidae,,,4,rural
102,2014,T2,May,CC,CCU,Odonata,Gomphidae,,,3,rural
103,2014,T2,May,CC,CCU,Ephemeroptera,Heptageniidae,,,5,rural
104,2014,T2,May,CC,CCU,Trichoptera,Hydropsychidae,,,3,rural
105,2014,T2,May,CC,CCU,Ephemeroptera,Leptophlebiidae,,,1,rural
106,2014,T2,May,CC,CCU,Trichoptera,Philopotamidae,,,4,rural
107,2014,T2,May,CC,CCU,Trichoptera,Uenoidae,,,5,rural
108,2014,T3,June,CC,CCU,Trichoptera,Philopotamidae,Chimarra,,4,rural
109,2014,T3,June,CC,CCU,Megaloptera,Corydalidae,Corydalus,,3,rural
110,2014,T3,June,CC,CCU,Ephemeroptera,Ephemerellidae,Drunella,,5,rural
111,2014,T3,June,CC,CCU,Trichoptera,Hydropsychidae,Hydropsyche,,7,rural
112,2014,T3,June,CC,CCU,Trichoptera,Hydropsychidae,Hydropsyche,,1,rural
113,2014,T3,June,CC,CCU,Ephemeroptera,Isonychiidae,Isonychia,,1,rural
114,2014,T3,June,CC,CCU,Ephemeroptera,Isonychiidae,Isonychia,,1,rural
115,2014,T3,June,CC,CCU,Ephemeroptera,Heptageniidae,Stenonema,fematoratum,2,rural
116,2014,T3,June,CC,CCU,Diptera,Tipulidae,Tipula,,2,rural
117,2014,T3,June,CC,CCU,Diptera,Tipulidae,Tipula,,2,rural
118,2014,T3,June,CC,CCU,Diptera,Chironomidae,,,2,rural
119,2014,T3,June,CC,CCU,Megaloptera,Corydalidae,,,2,rural
120,2014,T3,June,CC,CCU,Ephemeroptera,Ephemerellidae,,,2,rural
121,2014,T3,June,CC,CCU,Odonata,Gomphidae,,,1,rural
122,2014,T3,June,CC,CCU,Ephemeroptera,Heptageniidae,,,1,rural
123,2014,T3,June,CC,CCU,Trichoptera,Hydropsychidae,,,3,rural
124,2014,T3,June,CC,CCU,Plecoptera,Perlidae,,,1,rural
125,2014,T3,June,CC,CCU,Plecoptera,Perlodidae,,,1,rural
126,2014,T3,June,CC,CCU,Trichoptera,Philopotamidae,,,3,rural
127,2014,T4,July,CC,CCU,Trichoptera,Philopotamidae,Chimarra,,2,rural
128,2014,T4,July,CC,CCU,Ephemeroptera,Heptageniidae,Epeorus,,1,rural
129,2014,T4,July,CC,CCU,Ephemeroptera,Ephemerellidae,Ephemerella,,5,rural
130,2014,T4,July,CC,CCU,Trichoptera,Hydropsychidae,Hydropsyche,,8,rural
131,2014,T4,July,CC,CCU,Ephemeroptera,Isonychiidae,Isonychia,,4,rural
132,2014,T4,July,CC,CCU,Ephemeroptera,Isonychiidae,Isonychia,,2,rural
133,2014,T4,July,CC,CCU,Ephemeroptera,Heptageniidae,Leucrocuta,,1,rural
134,2014,T4,July,CC,CCU,Ephemeroptera,Heptageniidae,Maccaffertium,,1,rural
135,2014,T4,July,CC,CCU,Coleoptera,Elmidae,Stenelmis,,4,rural
136,2014,T4,July,CC,CCU,Coleoptera,Elmidae,Stenelmis,,2,rural
137,2014,T4,July,CC,CCU,Ephemeroptera,Heptageniidae,Stenonema,fematoratum,1,rural
138,2014,T4,July,CC,CCU,Diptera,Athericidae,,,1,rural
139,2014,T4,July,CC,CCU,Megaloptera,Corydalidae,,,2,rural
140,2014,T4,July,CC,CCU,Coleoptera,Elmidae,,,1,rural
141,2014,T4,July,CC,CCU,Ephemeroptera,Ephemerellidae,,,1,rural
142,2014,T4,July,CC,CCU,Odonata,Gomphidae,,,2,rural
143,2014,T4,July,CC,CCU,Trichoptera,Hydropsychidae,,,2,rural
144,2014,T4,July,CC,CCU,Trichoptera,Philopotamidae,,,1,rural
145,2014,T4,July,CC,CCU,Coleoptera,Psephenidae,,,1,rural
146,2014,T4,July,CC,CCU,Diptera,Tipulidae,,,2,rural
147,2014,T5,August,CC,CCU,Odonata,Aeshnidae,Aeshna,,1,rural
148,2014,T5,August,CC,CCU,Ephemeroptera,Ameletidae,Ameletus,,1,rural
149,2014,T5,August,CC,CCU,Diptera,Athericidae,Atherix,,20,rural
150,2014,T5,August,CC,CCU,Ephemeroptera,Baetidae,Baetis,,1,rural
151,2014,T5,August,CC,CCU,Trichoptera,Hydropsychidae,Hydropsyche,,3,rural
152,2014,T5,August,CC,CCU,Trichoptera,Hydropsychidae,Hydropsyche,,3,rural
153,2014,T5,August,CC,CCU,Trichoptera,Hydropsychidae,Hydropsyche,,3,rural
154,2014,T5,August,CC,CCU,Trichoptera,Philopotamidae,Chimarra,,1,rural
155,2014,T5,August,CC,CCU,Megaloptera,Corydalidae,Corydalus,,1,rural
156,2014,T5,August,CC,CCU,Odonata,Gomphidae,Erpetogomphus,,1,rural
157,2014,T5,August,CC,CCU,Diptera,Tipulidae,Hexatoma,,1,rural
158,2014,T5,August,CC,CCU,Trichoptera,Hydropsychidae,Hydropsyche,,5,rural
159,2014,T5,August,CC,CCU,Ephemeroptera,Isonychiidae,Isonychia,,3,rural
160,2014,T5,August,CC,CCU,Ephemeroptera,Isonychiidae,Isonychia,,2,rural
161,2014,T5,August,CC,CCU,Ephemeroptera,Heptageniidae,Maccaffertium,,1,rural
162,2014,T5,August,CC,CCU,Ephemeroptera,Heptageniidae,Maccaffertium,,2,rural
163,2014,T5,August,CC,CCU,Coleoptera,Psephenidae,Psephenus,,1,rural
164,2014,T5,August,CC,CCU,Coleoptera,Elmidae,Stenelmis,,1,rural
165,2014,T5,August,CC,CCU,Odonata,Aeshnidae,,,1,rural
166,2014,T5,August,CC,CCU,Diptera,Athericidae,,,2,rural
167,2014,T5,August,CC,CCU,Megaloptera,Corydalidae,,,1,rural
168,2014,T5,August,CC,CCU,Ephemeroptera,Heptageniidae,,,2,rural
169,2014,T5,August,CC,CCU,Trichoptera,Hydropsychidae,,,2,rural
170,2014,T5,August,CC,CCU,Plecoptera,Perlidae,,,1,rural
171,2014,T5,August,CC,CCU,Coleoptera,Psephenidae,,,1,rural
172,2014,T6,September,CC,CCU,Plecoptera,Perlidae,Acroneuria,,1,rural
173,2014,T6,September,CC,CCU,Diptera,Athericidae,Atherix,,1,rural
174,2014,T6,September,CC,CCU,Trichoptera,Hydropsychidae,Hydropsyche,,1,rural
175,2014,T6,September,CC,CCU,Diptera,Tipulidae,Hexatoma,,1,rural
176,2014,T6,September,CC,CCU,Trichoptera,Hydropsychidae,Hydropsyche,,1,rural
177,2014,T6,September,CC,CCU,Ephemeroptera,Isonychiidae,Isonychia,,2,rural
178,2014,T6,September,CC,CCU,Coleoptera,Elmidae,Stenelmis,,1,rural
179,2014,T6,September,CC,CCU,Diptera,Athericidae,,,1,rural
180,2014,T6,September,CC,CCU,Trichoptera,Hydropsychidae,,,2,rural
181,2014,T6,September,CC,CCU,Diptera,Tipulidae,,,1,rural
880,2015,T10,July,CC,CCU,Ephemeroptera,Ameletidae,Ameletus,,4,rural
881,2015,T10,July,CC,CCU,Diptera,Athericidae,Atherix,,5,rural
882,2015,T10,July,CC,CCU,Trichoptera,Hydropsychidae,Hydropsyche,,25,rural
883,2015,T10,July,CC,CCU,Trichoptera,Philopotamidae,Chimarra,,13,rural
884,2015,T10,July,CC,CCU,Megaloptera,Corydalidae,Corydalus,,1,rural
885,2015,T10,July,CC,CCU,Ephemeroptera,Ephemerellidae,Ephemerella,,2,rural
886,2015,T10,July,CC,CCU,Odonata,Gomphidae,Erpetogomphus,,3,rural
887,2015,T10,July,CC,CCU,Trichoptera,Glossosomatidae,Glossosoma,,1,rural
888,2015,T10,July,CC,CCU,Diptera,Tipulidae,Hexatoma,,2,rural
889,2015,T10,July,CC,CCU,Trichoptera,Hydropsychidae,Hydropsyche,,21,rural
890,2015,T10,July,CC,CCU,Ephemeroptera,Isonychiidae,Isonychia,,9,rural
891,2015,T10,July,CC,CCU,Megaloptera,Corydalidae,Nigronia,serricornis,1,rural
892,2015,T10,July,CC,CCU,Diptera,Chironomidae,,,3,rural
893,2015,T11,August,CC,CCU,Diptera,Athericidae,Atherix,,3,rural
894,2015,T11,August,CC,CCU,Trichoptera,Hydropsychidae,Hydropsyche,,10,rural
895,2015,T11,August,CC,CCU,Trichoptera,Philopotamidae,Chimarra,,1,rural
896,2015,T11,August,CC,CCU,Odonata,Gomphidae,Erpetogomphus,,1,rural
897,2015,T11,August,CC,CCU,Diptera,Tipulidae,Hexatoma,,1,rural
898,2015,T11,August,CC,CCU,Trichoptera,Hydropsychidae,Hydropsyche,,12,rural
899,2015,T11,August,CC,CCU,Ephemeroptera,Isonychiidae,Isonychia,,2,rural
900,2015,T11,August,CC,CCU,Coleoptera,Psephenidae,Psephenus,,1,rural
901,2015,T11,August,CC,CCU,Diptera,Tipulidae,Tipula,,1,rural
902,2015,T12,September,CC,CCU,Plecoptera,Perlidae,Acroneuria,,2,rural
903,2015,T12,September,CC,CCU,Diptera,Athericidae,Atherix,,50,rural
904,2015,T12,September,CC,CCU,Trichoptera,Hydropsychidae,Hydropsyche,,16,rural
905,2015,T12,September,CC,CCU,Trichoptera,Philopotamidae,Chimarra,,20,rural
906,2015,T12,September,CC,CCU,Ephemeroptera,Ephemeridae,Ephemera,,1,rural
907,2015,T12,September,CC,CCU,Odonata,Gomphidae,Erpetogomphus,,3,rural
908,2015,T12,September,CC,CCU,Trichoptera,Hydropsychidae,Hydropsyche,,6,rural
909,2015,T12,September,CC,CCU,Ephemeroptera,Isonychiidae,Isonychia,,6,rural
910,2015,T12,September,CC,CCU,Coleoptera,Psephenidae,Psephenus,,4,rural
911,2015,T12,September,CC,CCU,Coleoptera,Elmidae,Stenelmis,,2,rural
912,2015,T7,April,CC,CCU,Ephemeroptera,Baetidae,Acerpenna,,3,rural
913,2015,T7,April,CC,CCU,Trichoptera,Hydropsychidae,Hydropsyche,,10,rural
914,2015,T7,April,CC,CCU,Trichoptera,Philopotamidae,Chimarra,,1,rural
915,2015,T7,April,CC,CCU,Ephemeroptera,Heptageniidae,Epeorus,,1,rural
916,2015,T7,April,CC,CCU,Ephemeroptera,Ephemerellidae,Ephemerella,,58,rural
917,2015,T7,April,CC,CCU,Odonata,Gomphidae,Erpetogomphus,,1,rural
918,2015,T7,April,CC,CCU,Trichoptera,Hydropsychidae,Hydropsyche,,6,rural
919,2015,T7,April,CC,CCU,Ephemeroptera,Isonychiidae,Isonychia,,1,rural
920,2015,T7,April,CC,CCU,Ephemeroptera,Heptageniidae,Maccaffertium,,2,rural
921,2015,T7,April,CC,CCU,Trichoptera,Uenoidae,Neophylax,,2,rural
922,2015,T7,April,CC,CCU,Plecoptera,Taeniopterygidae,Oemopteryx,,16,rural
923,2015,T7,April,CC,CCU,Diptera,Simuliidae,Prosimulium,,6,rural
924,2015,T7,April,CC,CCU,Ephemeroptera,Heptageniidae,Stenacron,,1,rural
925,2015,T7,April,CC,CCU,Plecoptera,Chloroperlidae,Sweltsa,,3,rural
926,2015,T7,April,CC,CCU,Diptera,Tipulidae,Tipula,,3,rural
927,2015,T7,April,CC,CCU,Diptera,Chironomidae,,,3,rural
928,2015,T8,May,CC,CCU,Plecoptera,Perlidae,Acroneuria,,1,rural
929,2015,T8,May,CC,CCU,Trichoptera,Hydropsychidae,Hydropsyche,,5,rural
930,2015,T8,May,CC,CCU,Trichoptera,Philopotamidae,Chimarra,,1,rural
931,2015,T8,May,CC,CCU,Ephemeroptera,Ephemerellidae,Drunella,,12,rural
932,2015,T8,May,CC,CCU,Ephemeroptera,Heptageniidae,Epeorus,,1,rural
933,2015,T8,May,CC,CCU,Ephemeroptera,Ephemerellidae,Ephemerella,,22,rural
934,2015,T8,May,CC,CCU,Diptera,Tipulidae,Hexatoma,,1,rural
935,2015,T8,May,CC,CCU,Trichoptera,Hydropsychidae,Hydropsyche,,15,rural
936,2015,T8,May,CC,CCU,Ephemeroptera,Isonychiidae,Isonychia,,6,rural
937,2015,T8,May,CC,CCU,Plecoptera,Perlodidae,Isoperla,,2,rural
938,2015,T8,May,CC,CCU,Odonata,Gomphidae,Lanthus,,1,rural
939,2015,T8,May,CC,CCU,Trichoptera,Uenoidae,Neophylax,,2,rural
940,2015,T8,May,CC,CCU,Coleoptera,Elmidae,Stenelmis,,6,rural
941,2015,T8,May,CC,CCU,Diptera,Tipulidae,Tipula,,1,rural
942,2015,T8,May,CC,CCU,Diptera,Chironomidae,,,3,rural
943,2015,T8,May,CC,CCU,Ephemeroptera,Heptageniidae,,,2,rural
944,2015,T9,June,CC,CCU,Diptera,Athericidae,Atherix,,2,rural
945,2015,T9,June,CC,CCU,Odonata,Aeshnidae,Boyeria,,1,rural
946,2015,T9,June,CC,CCU,Trichoptera,Philopotamidae,Chimarra,,11,rural
947,2015,T9,June,CC,CCU,Trichoptera,Philopotamidae,Dolophilodes,,20,rural
948,2015,T9,June,CC,CCU,Ephemeroptera,Ephemerellidae,Drunella,,3,rural
949,2015,T9,June,CC,CCU,Ephemeroptera,Heptageniidae,Epeorus,,3,rural
950,2015,T9,June,CC,CCU,Odonata,Gomphidae,Erpetogomphus,,2,rural
951,2015,T9,June,CC,CCU,Trichoptera,Glossosomatidae,Glossosoma,,1,rural
952,2015,T9,June,CC,CCU,Diptera,Tipulidae,Hexatoma,,2,rural
953,2015,T9,June,CC,CCU,Trichoptera,Hydropsychidae,Hydropsyche,,12,rural
954,2015,T9,June,CC,CCU,Ephemeroptera,Isonychiidae,Isonychia,,3,rural
955,2015,T9,June,CC,CCU,Ephemeroptera,Heptageniidae,Maccaffertium,,2,rural
956,2015,T9,June,CC,CCU,Coleoptera,Elmidae,Stenelmis,,35,rural
957,2015,T9,June,CC,CCU,Diptera,Chironomidae,,,6,rural
182,2014,T1,April,FH,FHD,Plecoptera,Chloroperlidae,,,2,urban
183,2014,T2,May,FH,FHD,Plecoptera,Perlodidae,Isoperla,,1,urban
184,2014,T2,May,FH,FHD,Plecoptera,Chloroperlidae,Sweltsa,,6,urban
185,2014,T2,May,FH,FHD,Ephemeroptera,Baetidae,,,1,urban
186,2014,T2,May,FH,FHD,Diptera,Chironomidae,,,4,urban
187,2014,T2,May,FH,FHD,Plecoptera,Chloroperlidae,,,1,urban
188,2014,T3,June,FH,FHD,Ephemeroptera,Caenidae,Caenis,,1,urban
189,2014,T3,June,FH,FHD,Trichoptera,Philopotamidae,Dolophilodes,,1,urban
190,2014,T3,June,FH,FHD,Plecoptera,Chloroperlidae,Sweltsa,,6,urban
191,2014,T3,June,FH,FHD,Diptera,Chironomidae,,,4,urban
192,2014,T3,June,FH,FHD,Trichoptera,Philopotamidae,,,1,urban
193,2014,T3,June,FH,FHD,Diptera,Simuliidae,,,2,urban
194,2014,T4,July,FH,FHD,Diptera,Tipulidae,Tipula,,1,urban
195,2014,T4,July,FH,FHD,Ephemeroptera,Baetidae,,,1,urban
196,2014,T5,August,FH,FHD,Trichoptera,Hydropsychidae,,,1,urban
197,2014,T6,September,FH,FHD,Trichoptera,Hydropsychidae,Hydropsyche,,3,urban
198,2014,T6,September,FH,FHD,Diptera,Tipulidae,Tipula,,1,urban
199,2014,T6,September,FH,FHD,Trichoptera,Philopotamidae,Wormaldia,,1,urban
